Nome,Citta,Indirizzo,Telefono,Email,Categoria,Motivo,Recensioni,Demo URL,WhatsApp link,Email link,Inviato
Accorsini Alberto & C. Sas,Parma PR,"Via Buffolara, 104/B, 43126 Parma PR",0521 986485,,SENZA SITO,nessun sito,158,https://mirondavide.com/autofficine/accorsini-alberto-c-sas/,,,
Acerbi Pneumatici - Centro SuperService,Parma PR,"Via Antonio Cerati, 5, 43126 Parma PR",0521 293794,,SENZA SITO,nessun sito,156,https://mirondavide.com/autofficine/acerbi-pneumatici-centro-superservice/,,,
Bardiani Pneumatici - Centro SuperService,Parma PR,"Via Worms, 9/A, 43100 Parma PR",0521 241090,,SENZA SITO,nessun sito,151,https://mirondavide.com/autofficine/bardiani-pneumatici-centro-superservice/,,,
C.a.v.i.,Parma PR,"Via Emilia Ovest, 119/A, 43126 Parma PR",0521 671164,,SENZA SITO,nessun sito,149,https://mirondavide.com/autofficine/c-a-v-i/,,,
Officina Spaggiari,Parma PR,"Via Mantova, 107, 43122 Parma PR",0521 772750,,SENZA SITO,nessun sito,140,https://mirondavide.com/autofficine/officina-spaggiari/,,,
Sarti Punto Gomme,Traversetolo PR,"Via Bora, 3/M, 43029 Traversetolo PR",0521 841625,,SENZA SITO,nessun sito,136,https://mirondavide.com/autofficine/sarti-punto-gomme/,,,
Il Gommista,Romitaggio PR,"Quartiere Romitaggio, 11, 43010 Romitaggio PR",392 575 9380,,SENZA SITO,nessun sito,133,https://mirondavide.com/autofficine/il-gommista/,,,
Montani Sergio,Parma PR,"Via Benedetta, 8, 43122 Parma PR",0521 784414,,SENZA SITO,nessun sito,125,https://mirondavide.com/autofficine/montani-sergio/,,,
Sarti Luigi Di Sarti Luca,Traversetolo PR,"Via Parma, 49, 43029 Traversetolo PR",0521 842996,,SENZA SITO,nessun sito,123,https://mirondavide.com/autofficine/sarti-luigi-di-sarti-luca/,,,
Autofficina Leone Pietro,Parma PR,"Via Scarabelli Zunti, 29, 43123 Parma PR",0521 486177,,SENZA SITO,nessun sito,119,https://mirondavide.com/autofficine/autofficina-leone-pietro/,,,
Autofficina Benecchi Di Benecchi Roberto,Parma PR,"Via Donatori di Sangue, 33, 43124 Parma PR",0521 630291,,SENZA SITO,nessun sito,114,https://mirondavide.com/autofficine/autofficina-benecchi-di-benecchi-roberto/,,,
Elettrauto Bettati Snc,Parma PR,"Via Henry Bedarida, 6, 43122 Parma PR",0521 781777,,SENZA SITO,nessun sito,102,https://mirondavide.com/autofficine/elettrauto-bettati-snc/,,,
Autofficina F.lli Vecchi S.n.c.,Parma PR,"Str. Baganzola, 108/1, 43126 Parma PR",0521 602295,,SENZA SITO,nessun sito,94,https://mirondavide.com/autofficine/autofficina-f-lli-vecchi-s-n-c/,,,
CARROZZERIA VINCAR S.R.L.,Collecchio PR,"Str. dei Notari, 1/A, 43044 Collecchio PR",0521 806244,,SENZA SITO,nessun sito,91,https://mirondavide.com/autofficine/carrozzeria-vincar-s-r-l/,,,
